"","Company code","Report date","Fiscal year","Earnings","Cash Flow","Leverage Ratio(Book-based)","Leverage Ration(Market-based)"
"5174",8544,20121231,2012,864.014,-178.291,0.282141395096822,181.241330593373
"5175",8544,20131231,2013,800.137,-160.277,0.2604882993927,144.184058859595
"5176",8544,20141231,2014,762.956,-124.611,0.298259103946404,4.53790382520814
"5177",8544,20151231,2015,471.088,408.234,0.353537228967718,10.3461480539977
"5178",8544,20161231,2016,403.121,-168.192,0.3894435015785,16.950563064599
"5179",8546,20101231,2010,1918.697,1801.93,0.123090277356094,8.41525186932079
"5180",8546,20111231,2011,-1680.004,-3475.467,0.11796588775566,7.85516527680809
"5181",8546,20121231,2012,298.003,973.127,0.136730986100955,11.7982257948367
"5182",8546,20131231,2013,1610.765,-1799.538,0.138220568643603,5.79021828342619
"5183",8546,20141231,2014,502.192,-819.238,0.136145569840701,5
"5184",8546,20151231,2015,700.406,-203.063,0.137041597072828,6.32637835745822
"5185",8546,20161231,2016,1527.93,617.292,0.167043300843282,11.7049935553102
"5186",8549,20101231,2010,11358,8891,0.182971454892076,8.67222559126743
"5187",8549,20111231,2011,12436,-3674,0.175794557201592,5.53121149897331
"5188",8549,20121231,2012,8428,-2186,0.216033258212115,13.0314109165808
"5189",8549,20131231,2013,9156,2703,0.183487637327732,17.5117219078416
"5190",8549,20141231,2014,6869,-970,0.19362616806391,4.55490512716996
"5191",8549,20151231,2015,-4428,-2512,0.255221369660662,29.3050647820966
"5192",8549,20161231,2016,-3615,1308,0.30382524617921,87.4198717948718
"5193",8551,20110131,2010,53.805,7.4319999999999,0.350985118184191,5669.06954436451
"5194",8551,20120131,2011,317.881,-256.801,0.281808985035012,137.969547563805
"5195",8551,20130131,2012,433.84,646.419,0.295524965530642,490.015341998722
"5196",8551,20140131,2013,143.537,-290.577,0.342377806101777,498.330315604175
"5197",8551,20150131,2014,439,-83.1,0.323642949925904,31.8738738738739
"5198",8551,20160131,2015,572.4,99.7,0.298315321042594,72.1923076923077
"5199",8551,20170131,2016,549,170.7,0.288880456093749,109.872852233677
"5200",8577,20101031,2010,141.954,-1.93899999999996,NA,NA
"5201",8577,20111031,2011,113.568,1.15800000000002,NA,NA
"5202",8577,20121031,2012,119.847,-4.81799999999998,NA,NA
"5203",8577,20131031,2013,134.417,6.10400000000004,NA,NA
"5204",8577,20141031,2014,143.801,1.58000000000004,NA,NA
"5205",8577,20151031,2015,137.011,4.101,NA,NA
"5206",8579,20110228,2010,100.125,113.559,0.012776081024561,NA
"5207",8579,20120229,2011,168.938,-13.603,0.011538045795111,NA
"5208",8579,20130228,2012,129.444,-56.312,0.0110824005646191,NA
"5209",8579,20140228,2013,107.531,-104.861,0.0118214635469617,NA
"5210",8579,20150228,2014,75.162,-26.631,0.227142486739237,NA
"5211",8579,20160229,2015,39.634,15.157,0.246896023027597,NA
"5212",8579,20170228,2016,30.129,39.239,0.238502304639406,NA
"5213",8582,20110331,2010,17.671,-2.659,0.312362697862786,NA
"5214",8582,20110331,2010,17.671,-2.659,0.312362697862786,NA
"5215",8582,20120331,2011,11.256,4.65799999999999,0.317340888520343,NA
"5216",8582,20120331,2011,11.256,4.65799999999999,0.317340888520343,NA
"5217",8582,20130331,2012,41.413,4.684,0.336408312778824,NA
"5218",8582,20130331,2012,41.413,4.684,0.336408312778824,NA
"5219",8582,20140331,2013,13.779,-0.264999999999993,0.284210375715514,NA
"5220",8582,20140331,2013,13.779,-0.264999999999993,0.284210375715514,NA
"5221",8582,20150331,2014,9.899,-3.23100000000001,0.340283035494865,NA
"5222",8582,20150331,2014,9.899,-3.23100000000001,0.340283035494865,NA
"5223",8582,20160331,2015,54.458,-2.006,0.358271335500884,NA
"5224",8582,20160331,2015,54.458,-2.006,0.358271335500884,NA
"5225",8582,20170331,2016,12.613,3.39,0.392873716067013,NA
"5226",8582,20170331,2016,12.613,3.39,0.392873716067013,NA
"5227",8599,20110331,2010,-55.475,8.416,0.00873245027176871,0.159868729488983
"5228",8599,20120331,2011,-22.783,23.228,0.00486923125909307,0.126366641240783
"5229",8599,20130331,2012,-1.298,-14.635,0.00348794703600658,0.187040566294582
"5230",8599,20140331,2013,17.097,16.679,0.00175489143246287,0.0100422674540604
"5231",8599,20150331,2014,-11.497,-24.219,0.00104117890097783,0.0758122743682311
"5232",8599,20160331,2015,-3.765,-14.372,0.00179847372770136,0.106662395900064
"5233",8599,20170331,2016,-11.721,-11.279,0.00141657451958997,0.292954264524104
"5234",8605,20101231,2010,24.362,6.82199999999998,0.0614616968246921,0.139423189534115
"5235",8605,20111231,2011,-102.02,35.335,0.069456146295179,0.129246738767615
"5236",8605,20121231,2012,42.123,20.364,0.0598735566281704,0.0960064393438997
"5237",8605,20131231,2013,45.588,18.009,0.0539221459116013,0.0814020957457962
"5238",8605,20141231,2014,63.172,-107.473,0.0476387019863814,0.0729802567970892
"5239",8605,20151231,2015,52.075,174.412,0.0818323717639973,0.138465470272255
"5240",8605,20161231,2016,-21.952,-146.505,0.0823334523639816,0.143933293909319
"5241",8606,20101231,2010,292.379,70.65,0.502455050157964,7.66025955830312
"5242",8606,20111231,2011,617.48,376.554,0.519682699521204,4.77144038839503
"5243",8606,20121231,2012,445.163,53.816,0.511123500313172,3.89050184435378
"5244",8606,20131231,2013,142.835,7.50299999999993,0.49408523149086,3.26776090223655
"5245",8606,20141231,2014,333.755,200.421,0.501412262344209,2.91779321210577
"5246",8606,20151231,2015,407.943,-359.174,0.483434888956408,4.02100976338453
"5247",8606,20161231,2016,92.805,151.04,0.576462794320431,4.50347106508899
"5248",8606,20171231,2017,261.34,NA,0.573513767244148,NA
"5249",8611,20101231,2010,0.764,0.00900000000000001,0,NA
"5250",8611,20111231,2011,0.637,0.933,0,NA
"5251",8611,20121231,2012,-0.322,-0.616,0.0871486321331202,2.5327868852459
"5252",8611,20131231,2013,-0.481,-0.288,0.20811887763573,32.1410256410256
"5253",8611,20141231,2014,-1.556,0.576,0.419356282734232,14.3241590214067
"5254",8611,20151231,2015,-0.451,-0.219,0.50326466801545,NA
"5255",8611,20161231,2016,0.247,0.281,0.481404666509545,NA
"5256",8633,20110331,2010,109.243,-67.05,0,0
"5257",8633,20120331,2011,109.036,-67.228,0.0550210418308623,0.0942634331761427
"5258",8633,20130331,2012,106.402,20.11,0,0
"5259",8633,20140331,2013,112.417,2.98600000000002,0,NA
"5260",8633,20150331,2014,112.301,47.654,0.0393816734814084,NA
"5261",8633,20160331,2015,68.392,-41.428,0.524522811930532,NA
"5262",8633,20170331,2016,82.599,68.967,0.482775062699145,NA
"5263",8644,20101231,2010,771.6,862.9,0.030676156149563,2.46810598626104
"5264",8644,20111231,2011,-2073.6,302.9,0.0989229986431479,20.5680100755667
"5265",8644,20121231,2012,-2504.9,-133.5,0.176893511799172,53.6171079429735
"5266",8644,20131231,2013,-3742.7,-886.2,0.206052475526651,103.901960784314
"5267",8644,20141231,2014,-1166.5,268.7,0.229919342225797,18.5414414414414
"5268",8644,20151231,2015,-984.5,68.3000000000001,0.256147064146651,23.5600475624257
"5269",8644,20161231,2016,-104,-219.2,0.217212036143521,10.5618525289458
"5270",8661,20131231,2013,-1.436,17.868,0,NA
"5271",8661,20141231,2014,-3.658,-17.217,0,NA
"5272",8661,20151231,2015,-35.796,0.551,0,NA
"5273",8661,20161231,2016,-4.109,3.998,0,NA
"5274",8692,20101231,2010,40.394,4.06100000000001,0.47139671822451,4.04127962449141
"5275",8692,20111231,2011,40.266,2.226,0.491012033984616,4.97174918924787
"5276",8692,20121231,2012,42.594,9.166,0.497395315323336,4.30741802587515
"5277",8692,20131231,2013,70.581,-11.399,0.470356927688713,5.36464042100323
"5278",8692,20141231,2014,89.91,-0.941999999999979,0.607813633295056,19.2565632458234
"5279",8692,20151231,2015,31.714,3.24199999999999,0.5940132518601,65.6892200587403
"5280",8692,20161231,2016,10.938,74.659,0.629513809165004,6.94818498732882
"5281",8692,20171231,2017,86.453,37.873,0.601544048289806,NA
"5282",8694,20101231,2010,32,-25,NA,NA
"5283",8694,20111231,2011,257,88,NA,NA
"5284",8694,20121231,2012,285,-84,NA,NA
"5285",8694,20131231,2013,-212,-2,NA,NA
"5286",8694,20141231,2014,242,-9,NA,NA
"5287",8694,20151231,2015,327,11,NA,NA
"5288",8699,20100930,2010,25.008,16.282,0.0171819161891833,0.107554597431812
"5289",8699,20110930,2011,-2.715,7.922,0.0129032717062389,0.0827000243190661
"5290",8699,20120930,2012,29.657,-32.562,0.00971421688466961,0.0949049860529986
"5291",8699,20130930,2013,42.076,17.826,0.00681103704443185,0.34336720159529
"5292",8699,20140930,2014,29.224,-4.936,0.00591013273788746,0.227579830737501
